ID,Item_Outlet_Sales
FDW58OUT049,1699.860032727272
FDW14OUT017,1258.2346295652171
NCN55OUT010,585.979170967742
FDQ58OUT017,2311.543634234235
FDY38OUT027,5626.34512110601
FDH56OUT046,1856.3803121951223
FDL48OUT018,727.6142736842104
FDC48OUT027,2459.110745323742
FDN33OUT045,1544.4907649635038
FDA36OUT017,2979.2655030769233
FDT44OUT017,1856.3803121951223
FDQ56OUT045,1407.65785882353
NCC54OUT019,585.979170967742
FDU11OUT049,2060.0330992805743
DRL59OUT013,727.6142736842104
FDM24OUT049,2164.945795833334
FDI57OUT045,3836.8151714285723
DRC12OUT018,2783.513230476191
NCM42OUT027,3029.534256666666
FDA46OUT010,528.066828282828
FDA31OUT013,2719.8978503937
NCJ31OUT035,3947.3864092592594
FDG52OUT046,659.2096203124997
NCL19OUT019,285.70951908396955
FDS10OUT035,2874.5142196428574
FDX22OUT010,528.066828282828
NCF19OUT035,659.2096203124997
NCE06OUT046,2787.4382800000003
DRC27OUT046,4270.472904761905
FDE21OUT035,2063.71607927928
NCR42OUT019,89.83445208333332
FDX51OUT018,2783.513230476191
NCR06OUT018,504.65910649350656
FDU31OUT027,5460.696731707317
FDU59OUT017,2642.5602000000013
FDR03OUT027,5333.3477462962965
FDS49OUT027,2459.110745323742
FDD48OUT010,246.95041418439726
NCF18OUT017,2841.6705847826083
NCD43OUT027,2459.110745323742
NCD54OUT018,1771.1123971830991
FDY19OUT010,246.95041418439726
NCY54OUT017,2642.5602000000013
NCL19OUT018,1771.1123971830991
FDP23OUT010,528.066828282828
FDC26OUT013,1715.9242894736844
FDR14OUT010,162.96564666666666
NCS41OUT035,2874.5142196428574
FDF41OUT035,3947.3864092592594
FDU34OUT046,2190.4649282051287
DRH11OUT046,943.9351288135591
FDM03OUT013,1662.9490776470589
FDS31OUT017,3350.7782671755726
FDJ20OUT017,2060.0330992805743
FDV44OUT027,5333.3477462962965
FDG02OUT049,3321.7858611764714
FDA09OUT013,3350.7782671755726
FDT04OUT013,659.2096203124997
FDL58OUT019,585.979170967742
FDE52OUT045,1351.9043193798443
FDW12OUT035,2606.5684826446277
FDL51OUT017,3804.62725652174
NCY42OUT027,3474.504146774193
FDR07OUT017,1544.4907649635038
FDN40OUT045,2311.543634234235
FDB35OUT027,2787.0387999999994
FDA22OUT017,2642.5602000000013
NCL06OUT046,4270.472904761905
FDI35OUT013,3838.1343652173914
NCW42OUT045,3804.62725652174
NCX06OUT049,3350.7782671755726
FDC37OUT027,3029.534256666666
FDZ14OUT018,1771.1123971830991
DRG49OUT049,4270.472904761905
NCG06OUT045,4013.964868055558
DRC36OUT045,3082.334970833334
FDV21OUT019,285.70951908396955
FDB53OUT046,2555.2072400000006
DRP47OUT019,585.979170967742
FDA14OUT013,2606.5684826446277
DRC24OUT035,2738.246456756756
FDW21OUT018,1355.603842105263
NCH29OUT046,1764.1392772277227
FDU58OUT013,2783.513230476191
FDY27OUT017,2719.8978503937
FDV56OUT035,1699.860032727272
FDT59OUT046,3571.4444120000007
FDB23OUT046,3571.4444120000007
FDR49OUT045,760.5059902439026
FDB03OUT010,585.979170967742
FDN39OUT045,2787.4382800000003
FDX02OUT027,5460.696731707317
FDQ16OUT027,3029.534256666666
FDU35OUT018,1355.603842105263
NCT29OUT013,2060.0330992805743
FDZ27OUT046,760.5059902439026
FDN57OUT017,2214.010601652892
FDA03OUT018,1771.1123971830991
FDZ36OUT045,3350.7782671755726
NCU05OUT013,1436.6704378378374
